x,y
48.11832596362206, 15.302489593198414
53.16573703669867, 15.83630344891546
59.72735911854323, 16.548047679551665
67.65890042402252, 17.437722285107
76.00924332906193, 18.14946651574319
85.3901709198523, 19.039148698285068
95.92887615201002, 19.75089292892127
105.99145142502009, 20.462637159557463
117.10946977227373, 20.99644343828798
132.661113281541, 21.352311765112812
151.53236785946865, 21.708187668924186
173.08808844658145, 22.241993947654688
199.36049483120334, 22.59786227447952
231.53724739644855, 22.59786227447952
273.41556518412386, 22.59786227447952
320.1954431018613, 22.59786227447952
374.97936262773203, 22.59786227447952
424.7750399735391, 22.419931899560375
501.60406895991895, 22.064055995749015
577.7407116495862, 22.064055995749015
659.9247805297807, 22.064055995749015
772.8347761232227, 22.064055995749015
897.5708230803536, 22.064055995749015
1025.250975891932, 22.241993947654688
1151.7864697858813, 22.241993947654688
1315.6289975140855, 22.064055995749015
1465.7674361814575, 21.708187668924186
1688.2497064624686, 20.99644343828798
1896.611868944392, 21.174381390193666
2148.4739234701633, 21.530249717018485
2413.634809489254, 21.530249717018485
2711.521387315142, 21.530249717018485
2995.9475757277673, 21.352311765112812
3365.7021745471966, 21.352311765112812
3687.966920227026, 21.708187668924186
4143.129333646966, 22.419931899560375
4615.936387369078, 23.665482408927083
5057.910599228706, 24.1992886876576
5588.462281321427, 24.377226639563276
6022.590840053688, 22.95373817829088
6330.586494957596, 20.64056753447662
6936.737824160125, 21.530249717018485
7857.907341607031, 23.30960650511571
8975.707171754151, 23.665482408927083
10252.50854921931, 22.95373817829088
11234.182473068173, 22.064055995749015
12412.596818496064, 21.352311765112812
13714.63114673856, 20.99644343828798
15027.791397479015, 20.99644343828798
16742.749901205956, 20.99644343828798
18043.364297911117, 20.462637159557463
